PC1,PC2,PC3,cohorte,tipo,grupo
-61.85246,6.5545344,-65.37367,BRCA,tumor,tumor_BRCA
-38.235943,-22.447065,-55.921806,BRCA,tumor,tumor_BRCA
-42.64924,-43.02464,-62.230545,BRCA,tumor,tumor_BRCA
-24.12584,-46.042007,-74.14158,BRCA,tumor,tumor_BRCA
-40.250305,-61.222206,-56.4492,BRCA,tumor,tumor_BRCA
-69.44013,-15.411152,-55.19995,BRCA,tumor,tumor_BRCA
-44.536633,-48.538784,-60.588383,BRCA,tumor,tumor_BRCA
-29.135078,16.847971,-61.60071,BRCA,tumor,tumor_BRCA
-24.028719,-40.329887,-75.57295,BRCA,tumor,tumor_BRCA
-65.34208,5.267247,-62.767838,BRCA,tumor,tumor_BRCA
-54.2373,-12.188314,-27.634909,BRCA,tumor,tumor_BRCA
-41.38647,-13.757521,-66.01402,BRCA,tumor,tumor_BRCA
-70.5549,-10.872535,-41.54797,BRCA,tumor,tumor_BRCA
-52.362133,-37.15679,-64.324356,BRCA,tumor,tumor_BRCA
-65.77511,7.5272326,-43.61155,BRCA,tumor,tumor_BRCA
-64.92474,10.211411,-48.03936,BRCA,tumor,tumor_BRCA
-49.03707,-35.12896,-64.63486,BRCA,tumor,tumor_BRCA
-53.16589,17.952171,-69.42632,BRCA,tumor,tumor_BRCA
-59.86056,-32.510906,-63.942993,BRCA,tumor,tumor_BRCA
-57.796566,25.999367,-58.435028,BRCA,tumor,tumor_BRCA
-29.899767,6.6290345,-68.05728,BRCA,tumor,tumor_BRCA
-55.804646,-11.839536,-64.57717,BRCA,tumor,tumor_BRCA
-23.623972,3.4481406,-73.82914,BRCA,tumor,tumor_BRCA
-58.749382,-14.950083,-14.253592,BRCA,tumor,tumor_BRCA
-59.007893,-19.185934,-70.66153,BRCA,tumor,tumor_BRCA
-44.909298,-6.4349627,-30.866503,BRCA,tumor,tumor_BRCA
-80.33296,39.608982,-35.778934,BRCA,tumor,tumor_BRCA
-40.79487,30.80321,-63.031754,BRCA,tumor,tumor_BRCA
-60.254112,10.008052,-71.529785,BRCA,tumor,tumor_BRCA
-39.988503,-9.852833,-22.449682,BRCA,tumor,tumor_BRCA
-74.80641,-0.53061783,-58.899216,BRCA,tumor,tumor_BRCA
-62.952385,-1.5789591,-65.823296,BRCA,tumor,tumor_BRCA
-60.368435,-0.21837538,-60.390244,BRCA,tumor,tumor_BRCA
-46.263966,28.69668,-61.7091,BRCA,tumor,tumor_BRCA
-69.5649,-2.7417285,-51.49551,BRCA,tumor,tumor_BRCA
-59.41703,-8.243057,-58.666943,BRCA,tumor,tumor_BRCA
-47.49015,54.23807,-47.45937,BRCA,tumor,tumor_BRCA
-17.155994,-10.782149,-64.184204,BRCA,tumor,tumor_BRCA
-25.731155,-29.18377,-81.508095,BRCA,tumor,tumor_BRCA
-59.740067,-14.256632,-54.755653,BRCA,tumor,tumor_BRCA
-47.367847,-13.537991,-73.06886,BRCA,tumor,tumor_BRCA
-53.334057,15.020539,-42.73132,BRCA,tumor,tumor_BRCA
-53.77006,-1.213865,-37.216694,BRCA,tumor,tumor_BRCA
-49.70854,-23.951687,-36.123936,BRCA,tumor,tumor_BRCA
-20.132822,-6.5711484,-80.930176,BRCA,tumor,tumor_BRCA
-48.19032,-12.436106,-64.0251,BRCA,tumor,tumor_BRCA
-63.301014,-8.223871,-46.64143,BRCA,tumor,tumor_BRCA
-62.55017,-12.8783045,-54.892677,BRCA,tumor,tumor_BRCA
-40.512897,6.543164,-57.329197,BRCA,tumor,tumor_BRCA
-46.111427,-56.30544,-55.713432,BRCA,tumor,tumor_BRCA
-38.16487,-31.943253,-70.013794,BRCA,tumor,tumor_BRCA
-42.712807,-63.906513,-58.58603,BRCA,tumor,tumor_BRCA
-75.52964,0.09963215,-42.565517,BRCA,tumor,tumor_BRCA
-60.568863,-20.582287,-61.295986,BRCA,tumor,tumor_BRCA
-40.202335,38.979565,-57.666294,BRCA,tumor,tumor_BRCA
-37.292675,26.191708,-61.74825,BRCA,tumor,tumor_BRCA
-18.94017,-48.589245,-74.68807,BRCA,tumor,tumor_BRCA
-54.184036,-9.829255,-67.13306,BRCA,tumor,tumor_BRCA
-57.925373,22.79327,-29.431763,BRCA,tumor,tumor_BRCA
-51.49963,-18.773748,-64.83991,BRCA,tumor,tumor_BRCA
-74.04041,-34.64746,-39.646095,BRCA,tumor,tumor_BRCA
-54.29612,-1.3351347,-46.774254,BRCA,tumor,tumor_BRCA
-65.19428,-23.266222,-11.498446,BRCA,tumor,tumor_BRCA
-44.68505,-74.75372,-36.29457,BRCA,tumor,tumor_BRCA
-55.459793,-2.9454782,-64.62482,BRCA,tumor,tumor_BRCA
-62.465607,-18.810833,-49.49679,BRCA,tumor,tumor_BRCA
-53.098248,9.171331,-57.540737,BRCA,tumor,tumor_BRCA
-57.658424,10.316688,-72.79026,BRCA,tumor,tumor_BRCA
-55.81553,-9.058075,-67.02316,BRCA,tumor,tumor_BRCA
-38.36931,0.19520159,-62.706398,BRCA,tumor,tumor_BRCA
-78.2605,5.666808,-45.299236,BRCA,tumor,tumor_BRCA
-49.11443,-6.8030796,-71.91767,BRCA,tumor,tumor_BRCA
-40.952477,-70.13555,-54.911945,BRCA,tumor,tumor_BRCA
-47.99201,-36.277916,-61.834164,BRCA,tumor,tumor_BRCA
-43.937473,-49.09158,-66.70767,BRCA,tumor,tumor_BRCA
-44.541264,-34.759514,-71.67927,BRCA,tumor,tumor_BRCA
-51.702175,-6.8701363,-70.43546,BRCA,tumor,tumor_BRCA
-61.99744,-15.506116,-36.22318,BRCA,tumor,tumor_BRCA
-61.140854,-33.50308,-70.02456,BRCA,tumor,tumor_BRCA
-52.1495,-17.221195,-62.51648,BRCA,tumor,tumor_BRCA
-59.886868,5.3883147,-37.25392,BRCA,tumor,tumor_BRCA
-63.647217,-12.628731,-59.884357,BRCA,tumor,tumor_BRCA
-29.616991,39.80582,-39.22785,BRCA,tumor,tumor_BRCA
-43.092033,51.406494,-64.5418,BRCA,tumor,tumor_BRCA
-47.9786,21.602144,-50.181366,BRCA,tumor,tumor_BRCA
-44.144745,-19.338951,-65.650246,BRCA,tumor,tumor_BRCA
-64.25213,13.854603,-52.697704,BRCA,tumor,tumor_BRCA
-12.89831,-46.04446,-66.02052,BRCA,tumor,tumor_BRCA
-73.299095,-11.992825,-50.137085,BRCA,tumor,tumor_BRCA
-51.74248,-6.7435327,-77.98556,BRCA,tumor,tumor_BRCA
-54.909588,-47.11303,-60.951508,BRCA,tumor,tumor_BRCA
-29.383842,-41.31023,-77.086975,BRCA,tumor,tumor_BRCA
-45.02101,-39.780247,-61.599438,BRCA,tumor,tumor_BRCA
-44.381527,52.053955,-61.62774,BRCA,tumor,tumor_BRCA
-44.664776,-4.924112,-47.939365,BRCA,tumor,tumor_BRCA
-67.08838,26.946459,-47.788784,BRCA,tumor,tumor_BRCA
-59.680077,-2.9252021,-66.18411,BRCA,tumor,tumor_BRCA
-69.26106,5.1522036,-51.598553,BRCA,tumor,tumor_BRCA
-51.485474,-14.934954,-60.743916,BRCA,tumor,tumor_BRCA
-32.80481,-21.034174,-62.656895,BRCA,tumor,tumor_BRCA
-60.56726,-30.933256,-48.337246,BRCA,tumor,tumor_BRCA
-21.527445,-79.579765,-48.246563,BRCA,tumor,tumor_BRCA
-28.691282,-25.669472,-84.550644,BRCA,tumor,tumor_BRCA
-32.110546,-2.8177485,-70.0828,BRCA,tumor,tumor_BRCA
-55.32261,-5.0294414,-64.89464,BRCA,tumor,tumor_BRCA
-62.150383,2.441984,-70.49225,BRCA,tumor,tumor_BRCA
